,City,Lat,Long,Temp,Humidity,Cloudiness,Wind Speed,County,City Time
0,Bredasdorp,-34.5322,20.0403,17.0,88,34,3.09,ZA,2021-05-04 18:47:31
1,Touros,-5.1989,-35.4608,24.0,94,75,2.06,BR,2021-05-04 13:47:32
2,Busselton,-33.65,115.3333,15.0,97,100,3.84,AU,2021-05-05 00:47:32
3,Rikitea,-23.1203,-134.9692,25.89,79,98,5.24,PF,2021-05-04 07:47:32
4,Manyana,-23.4,21.7167,14.39,42,0,2.66,BW,2021-05-04 18:47:33
5,Cape Town,-33.9258,18.4232,19.44,94,75,3.6,ZA,2021-05-04 18:35:36
6,Hobart,-42.8794,147.3294,7.22,87,20,3.6,AU,2021-05-05 02:47:33
7,Cayenne,4.9333,-52.3333,28.0,74,0,4.12,GF,2021-05-04 13:47:34
8,Mogadishu,2.0371,45.3438,27.98,79,100,6.06,SO,2021-05-04 19:47:34
9,Kapaa,22.0752,-159.319,26.11,69,1,5.14,US,2021-05-04 06:47:34
10,Bac Lieu,9.285,105.7244,29.1,74,100,6.65,VN,2021-05-04 23:47:35
11,Arraial do Cabo,-22.9661,-42.0278,24.0,83,0,4.12,BR,2021-05-04 13:47:35
12,Shimanovsk,52.0,127.7,6.27,91,100,4.35,RU,2021-05-05 01:47:35
13,Hermanus,-34.4187,19.2345,17.22,82,5,2.27,ZA,2021-05-04 18:47:36
14,Ushuaia,-54.8,-68.3,6.0,87,75,13.38,AR,2021-05-04 13:46:17
15,Punta Arenas,-53.15,-70.9167,9.0,66,0,13.89,CL,2021-05-04 13:46:40
16,Laguna,38.421,-121.4238,33.33,18,1,1.54,US,2021-05-04 09:47:36
17,Pombal,-6.7703,-37.8017,26.5,67,100,2.2,BR,2021-05-04 13:47:37
18,Puerto Ayora,-0.7393,-90.3518,27.0,74,75,6.17,EC,2021-05-04 10:47:37
19,Albany,42.6001,-73.9662,15.56,77,90,3.09,US,2021-05-04 12:45:27
20,Hrymayliv,49.3321,26.0111,7.07,76,100,4.39,UA,2021-05-04 19:47:37
21,Yeppoon,-23.1333,150.7333,19.0,94,90,2.0,AU,2021-05-05 02:47:38
22,Henties Bay,-22.116,14.2845,18.32,78,0,2.89,NA,2021-05-04 18:47:38
23,Ahipara,-35.1667,173.1667,15.84,60,29,1.69,NZ,2021-05-05 04:47:38
24,Nandigāma,16.7833,80.3,28.0,89,20,1.03,IN,2021-05-04 22:17:39
25,Wahpeton,46.2652,-96.6059,12.22,32,1,6.69,US,2021-05-04 11:47:39
26,Barrow,71.2906,-156.7887,-8.0,73,90,3.09,US,2021-05-04 08:47:39
27,Mataura,-46.1927,168.8643,10.56,69,33,2.24,NZ,2021-05-05 04:47:40
28,Pevek,69.7008,170.3133,-2.59,65,80,6.44,RU,2021-05-05 04:47:40
29,Tasiilaq,65.6145,-37.6368,-1.0,74,2,2.06,GL,2021-05-04 14:47:40
30,Portland,45.5234,-122.6762,20.56,48,20,3.09,US,2021-05-04 09:43:46
31,Sechura,-5.5569,-80.8222,25.48,57,16,6.73,PE,2021-05-04 11:47:41
32,Nikolskoye,59.7035,30.7861,2.22,93,90,4.0,RU,2021-05-04 19:47:41
33,Krasnaya Polyana,56.242,51.1442,7.83,82,100,2.31,RU,2021-05-04 19:47:42
34,Beyneu,45.3167,55.2,21.45,21,2,3.82,KZ,2021-05-04 21:47:42
35,Hilo,19.7297,-155.09,29.0,58,40,4.63,US,2021-05-04 06:47:42
36,Boromo,11.75,-2.9333,32.29,42,100,5.24,BF,2021-05-04 16:47:43
37,Chumikan,54.7183,135.315,-0.69,78,100,7.02,RU,2021-05-05 02:47:43
38,Miandrivazo,-19.5167,45.4667,19.05,78,0,0.68,MG,2021-05-04 19:47:43
39,Thompson,55.7435,-97.8558,3.0,56,90,5.14,CA,2021-05-04 11:42:54
40,Yarensk,62.1675,49.0916,0.88,99,100,1.72,RU,2021-05-04 19:47:44
41,Machado,-21.6747,-45.9197,16.74,69,25,0.95,BR,2021-05-04 13:47:44
42,Tuatapere,-46.1333,167.6833,10.56,69,11,2.24,NZ,2021-05-05 04:47:44
43,Kahului,20.8947,-156.47,28.0,61,40,9.77,US,2021-05-04 06:47:24
44,Vallenar,-28.5708,-70.7581,18.93,44,0,2.88,CL,2021-05-04 12:47:45
45,Nanortalik,60.1432,-45.2371,4.23,65,100,5.36,GL,2021-05-04 14:47:45
46,Lorengau,-2.0226,147.2712,27.35,76,50,1.24,PG,2021-05-05 02:47:45
47,Nishihara,26.1842,127.7558,24.0,94,90,6.69,JP,2021-05-05 01:47:46
48,Severo-Kuril'sk,50.6789,156.125,1.49,95,74,4.92,RU,2021-05-05 03:47:46
49,Sur,22.5667,59.5289,28.07,71,6,5.69,OM,2021-05-04 20:47:47
50,Fairbanks,64.8378,-147.7164,15.56,30,75,0.77,US,2021-05-04 08:47:29
51,Ponta do Sol,32.6667,-17.1,15.0,54,2,2.68,PT,2021-05-04 17:47:48
52,Carnarvon,-24.8667,113.6333,15.0,100,59,2.57,AU,2021-05-05 00:47:48
53,Iranshahr,27.2025,60.6848,24.0,50,0,2.06,IR,2021-05-04 21:16:21
54,Eirunepé,-6.6603,-69.8736,25.83,90,92,0.78,BR,2021-05-04 11:47:49
55,Bandarbeyla,9.4942,50.8122,28.69,71,100,2.45,SO,2021-05-04 19:47:49
56,Butaritari,3.0707,172.7902,28.79,76,65,9.08,KI,2021-05-05 04:47:49
57,Hay River,60.8156,-115.7999,10.0,23,17,4.12,CA,2021-05-04 10:47:50
58,Katsuura,35.1333,140.3,18.89,77,89,2.24,JP,2021-05-05 01:47:50
59,Acapulco de Juárez,16.8634,-99.8901,29.0,54,1,5.66,MX,2021-05-04 11:46:55
